"Periodo","Producto bruto interno y demanda interna (variación porcentual interanual) - PBI"
Ene15,1.56135005564856
Feb15,1.23394541323687
Mar15,2.93656228766862
Abr15,4.1979663873371
May15,1.28313546588782
Jun15,4.08530326801726
Jul15,3.60266493566244
Ago15,2.66937702702714
Sep15,3.1879174023065
Oct15,3.27335262690749
Nov15,3.94191616853309
Dic15,6.50647963620001
Ene16,3.54113814302817
Feb16,6.42429219924289
Mar16,3.54938110728744
Abr16,2.76630185097243
May16,4.87351362041326
Jun16,3.57852542255903
Jul16,3.58062985933169
Ago16,5.77370218193857
Sep16,4.50905536501767
Oct16,2.18080649732736
Nov16,3.51817218348109
Dic16,3.47943877875027
Ene17,5.01626211264572
Feb17,0.787527043221872
Mar17,1.1639555060952
Abr17,0.312238929631087
May17,3.65835942932863
Jun17,3.97016166283074
Jul17,2.23023704349412
Ago17,2.86045378586284
Sep17,3.35308849036732
Oct17,3.60961327174377
Nov17,2.03205441021398
Dic17,1.41882192701749
Ene18,2.87205176549582
Feb18,2.7141316363325
Mar18,3.88128846527862
Abr18,8.0841857281388
May18,6.70724895000531
Jun18,2.07173004335971
Jul18,2.60702407400345
Ago18,2.32028337844944
Sep18,2.39025504598367
Oct18,4.08443549632711
Nov18,5.06003679248474
Dic18,4.7090168713239
Ene19,1.6823927633535
Feb19,2.08220925463981
Mar19,3.38599894575736
Abr19,-0.00336979595821463
May19,0.6896895890478
Jun19,2.81865846178842
Jul19,3.93035750533787
Ago19,3.71500170174262
Sep19,2.531123555271
Oct19,2.70725458528339
Nov19,2.3100877645152
Dic19,1.23992819697906
Ene20,3.30239850965348
Feb20,4.57872553564633
Mar20,-17.6069502356913
Abr20,-39.2775915440572
May20,-32.7279557359925
Jun20,-18.104189778414
Jul20,-11.0197182206578
Ago20,-9.16556702732704
Sep20,-5.86700650789372
Oct20,-3.25392594229465
Nov20,-2.10536153840061
Dic20,1.03288732849095
Ene21,-0.99387377003377
Feb21,-3.81740016313754
Mar21,19.8735807264147
Abr21,59.9014197262632
May21,48.6048875412029
Jun21,23.4148272577011
Jul21,13.3192435077497
Ago21,12.0119089510039
Sep21,10.0293640352626
Oct21,4.7653439679722
Nov21,3.75236017899343
Dic21,2.02885129322246
Ene22,3.05856027355139
Feb22,4.8320661704274
Mar22,3.88813254830572
Abr22,4.04286214956938
May22,2.54130159621012
Jun22,3.72200636893004
Jul22,1.99316708324509
Ago22,2.0088651285799
Sep22,2.16478193075778
Oct22,2.6161441594557
Nov22,2.22309966782475
Dic22,1.32150135828453
Ene23,-0.527098554745429
Feb23,-0.290988047761379
Mar23,0.901575941375371
Abr23,0.756478034849327
May23,-1.11868801486075
Jun23,-0.654614581850905
Jul23,-0.9923973888557
Ago23,0.0566473260981174
Sep23,-0.938065298565007
Oct23,-0.735727251297658
Nov23,0.604719272364802
Dic23,-1.08799158974094
Ene24,1.66361508753211
Feb24,3.14412900448178
Mar24,-0.370396236799114
Abr24,5.61426216155982
May24,5.47449810763474
Jun24,0.395453801767005
Jul24,4.98311741850262
Ago24,3.96281235954929
Sep24,3.55325414479975
Oct24,3.77839887006094
Nov24,4.40355168174409
Dic24,5.17182371521418
Ene25,4.31774137820727
Feb25,2.95776849969385
Mar25,4.81821754115986
Abr25,1.42537916380037
May25,2.64426157734564
Jun25,4.77187797271996
Jul25,3.57773335083278
Ago25,3.25129365385655
Sep25,4.2250152509826
Oct25,3.98466312714822
Nov25,1.52733101933181
Dic25,n.d.
Ene26,n.d.
