"Periodo","Gastos del gobierno central (millones S/) - Resultado Primario - Gastos No Financieros"
Ene15,6058.52872933471
Feb15,6703.73275103594
Mar15,7586.81018260993
Abr15,8110.60931393381
May15,8116.92859474684
Jun15,8740.47097743553
Jul15,10607.8077985199
Ago15,8402.6409698731
Sep15,8844.81880764917
Oct15,9985.00637913625
Nov15,9778.83473681457
Dic15,20174.4146667949
Ene16,5827.41981930837
Feb16,7209.99302743595
Mar16,8841.75196111751
Abr16,8415.31955822518
May16,8334.94618842654
Jun16,8150.30674862498
Jul16,10308.0733332799
Ago16,8667.01296958449
Sep16,8576.22683214736
Oct16,8782.68422815717
Nov16,9067.58731741862
Dic16,17459.6694792685
Ene17,7088.69524863523
Feb17,6814.46160669414
Mar17,8639.65696177359
Abr17,8986.44001999526
May17,9403.3167902877
Jun17,8841.68456429162
Jul17,10507.0527241552
Ago17,10075.8486595214
Sep17,10190.4050379528
Oct17,10840.2793888342
Nov17,10016.9441380307
Dic17,19314.0369267979
Ene18,7024.08904135134
Feb18,8227.01362577375
Mar18,9749.27197989138
Abr18,9753.82310499
May18,8772.17430515885
Jun18,9989.04356580421
Jul18,13502.2257791938
Ago18,9145.29101743648
Sep18,9945.88765158349
Oct18,11863.811315617
Nov18,10823.7048416137
Dic18,17620.4054908189
Ene19,7266.22203257128
Feb19,10215.574233291
Mar19,9283.9359901539
Abr19,10227.2674864541
May19,10616.3337690268
Jun19,10831.7650399521
Jul19,12637.6619603642
Ago19,10531.9368486297
Sep19,9958.568049181
Oct19,12409.5591077208
Nov19,11451.0740423975
Dic19,19844.3743157594
Ene20,9335.8232953265
Feb20,8432.36730975959
Mar20,12342.4506595752
Abr20,11316.8128095918
May20,10137.5032388784
Jun20,9071.25946151567
Jul20,16782.7191123547
Ago20,12962.960515869
Sep20,14605.5830932474
Oct20,17376.0447434388
Nov20,14627.5775317901
Dic20,26594.3458654628
Ene21,10371.5383930825
Feb21,12568.9068511101
Mar21,14187.0883460497
Abr21,13261.3704822409
May21,11808.7922799935
Jun21,12693.0739379255
Jul21,14338.7739965207
Ago21,12286.6342609319
Sep21,16643.9325992553
Oct21,16285.3305542419
Nov21,14010.1249887633
Dic21,27443.0105862348
Ene22,12381.45900019
Feb22,10417.67794275
Mar22,12779.07821773
Abr22,14855.13487617
May22,13425.82790514
Jun22,13264.65648587
Jul22,19323.53003083
Ago22,16053.0651568
Sep22,13994.63905841
Oct22,17372.5190533449
Nov22,15837.1968264765
Dic22,27000.69792505
Ene23,14046.12689641
Feb23,11764.4282044387
Mar23,14494.4094933814
Abr23,13829.3357157409
May23,14216.2046787
Jun23,14432.5798088652
Jul23,16518.43943397
Ago23,13609.4802798
Sep23,14045.09232328
Oct23,16139.17399748
Nov23,16304.11017998
Dic23,27930.80418458
Ene24,13564.82540718
Feb24,14329.09318511
Mar24,13674.97718472
Abr24,15312.91109154
May24,14097.16675055
Jun24,15239.3808384
Jul24,18808.28249538
Ago24,14903.3215377684
Sep24,21618.77283414
Oct24,16689.0921989867
Nov24,15712.44432519
Dic24,27942.6297860121
Ene25,16799.02046344
Feb25,13563.9138942064
Mar25,15319.6507954399
Abr25,15121.8402055632
May25,16076.0689756262
Jun25,21840.2179535979
Jul25,16729.0089761157
Ago25,16243.9581062928
Sep25,19343.52639395
Oct25,17289.2098973217
Nov25,16363.3567155226
Dic25,28679.5624495638
Ene26,16692.241642458
