"Periodo","Tasas de interés del Banco Central de Reserva - Tasa de Referencia de la Política Monetaria"
Ene15,3.25
Feb15,3.25
Mar15,3.25
Abr15,3.25
May15,3.25
Jun15,3.25
Jul15,3.25
Ago15,3.25
Sep15,3.5
Oct15,3.5
Nov15,3.5
Dic15,3.75
Ene16,4
Feb16,4.25
Mar16,4.25
Abr16,4.25
May16,4.25
Jun16,4.25
Jul16,4.25
Ago16,4.25
Sep16,4.25
Oct16,4.25
Nov16,4.25
Dic16,4.25
Ene17,4.25
Feb17,4.25
Mar17,4.25
Abr17,4.25
May17,4
Jun17,4
Jul17,3.75
Ago17,3.75
Sep17,3.5
Oct17,3.5
Nov17,3.25
Dic17,3.25
Ene18,3
Feb18,3
Mar18,2.75
Abr18,2.75
May18,2.75
Jun18,2.75
Jul18,2.75
Ago18,2.75
Sep18,2.75
Oct18,2.75
Nov18,2.75
Dic18,2.75
Ene19,2.75
Feb19,2.75
Mar19,2.75
Abr19,2.75
May19,2.75
Jun19,2.75
Jul19,2.75
Ago19,2.5
Sep19,2.5
Oct19,2.5
Nov19,2.25
Dic19,2.25
Ene20,2.25
Feb20,2.25
Mar20,1.25
Abr20,0.25
May20,0.25
Jun20,0.25
Jul20,0.25
Ago20,0.25
Sep20,0.25
Oct20,0.25
Nov20,0.25
Dic20,0.25
Ene21,0.25
Feb21,0.25
Mar21,0.25
Abr21,0.25
May21,0.25
Jun21,0.25
Jul21,0.25
Ago21,0.5
Sep21,1
Oct21,1.5
Nov21,2
Dic21,2.5
Ene22,3
Feb22,3.5
Mar22,4
Abr22,4.5
May22,5
Jun22,5.5
Jul22,6
Ago22,6.5
Sep22,6.75
Oct22,7
Nov22,7.25
Dic22,7.5
Ene23,7.75
Feb23,7.75
Mar23,7.75
Abr23,7.75
May23,7.75
Jun23,7.75
Jul23,7.75
Ago23,7.75
Sep23,7.5
Oct23,7.25
Nov23,7
Dic23,6.75
Ene24,6.5
Feb24,6.25
Mar24,6.25
Abr24,6
May24,5.75
Jun24,5.75
Jul24,5.75
Ago24,5.5
Sep24,5.25
Oct24,5.25
Nov24,5
Dic24,5
Ene25,4.75
Feb25,4.75
Mar25,4.75
Abr25,4.75
May25,4.5
Jun25,4.5
Jul25,4.5
Ago25,4.5
Sep25,4.25
Oct25,4.25
Nov25,4.25
Dic25,4.25
Ene26,4.25
Feb26,4.25
